ticker,confirmation_score,signal,confirmation_price,entry_time,close_price,max_gain_%,max_drawdown_%,notes,entry_price,mark_price,remaining_shares,shares_sold_10,shares_sold_20,shares_sold_30,shares_sold_protect,shares_sold_stop,shares_sold_time,exit_reason,resolved,success,p_l_100_shares,strategy_return_%,candidate_rank,sector,earnings_blocked,selected,selection_note,position_shares,position_cost,position_risk,sized_p_l
SBH,40,🔥 BUY TODAY,13.35,09:50:00,13.32,8.52,-0.47,"above open, above prior close, above VWAP, not overextended",13.3433,14.45,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,110.67,8.29,131,Consumer Cyclical,False,False,daily limit,0,0.0,0.0,0.0
SHC,40,🔥 BUY TODAY,15.83,09:50:00,15.83,9.63,-1.2,"above open, above prior close, above VWAP, not overextended",15.8709,17.375,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,150.41,9.48,134,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
SHLS,40,🔥 BUY TODAY,10.71,09:50:00,10.295,1.3,-16.66,"above open, above VWAP, broke first 15m high, not overextended",10.7207,9.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,STOP -8%,True,False,-86.75,-8.09,135,Technology,False,False,daily limit,0,0.0,0.0,0.0
SLDB,40,🔥 BUY TODAY,8.615,09:50:00,8.78,13.29,-0.27,"above open, above prior close, above VWAP, not overextended",8.6236,9.268,50.0,50.0,0.0,0.0,0.0,0.0,0.0,SCALE +10%,False,True,74.86,8.68,137,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
SMMT,40,🔥 BUY TODAY,14.36,09:50:00,14.26,2.99,-3.47,"above open, above prior close, above VWAP, not overextended",14.3794,14.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,-34.94,-2.43,139,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
SNDX,40,🔥 BUY TODAY,19.42,09:50:00,19.61,9.77,-0.1,"above open, above prior close, above VWAP, not overextended",19.4594,21.31,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,185.06,9.51,140,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
SPRY,40,🔥 BUY TODAY,10.22,09:50:00,10.25,6.25,-26.59,"above open, above prior close, above VWAP, not overextended",10.2302,8.445,0.0,0.0,0.0,0.0,0.0,100.0,0.0,STOP -8%,True,False,-238.81,-23.34,141,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
SVRA,40,🔥 BUY TODAY,5.75,09:50:00,5.77,7.73,-0.71,"above open, above prior close, above VWAP, not overextended",5.7507,5.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,14.93,2.6,142,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
TRVI,40,🔥 BUY TODAY,17.8,09:50:00,17.35,2.42,-3.23,"above open, above prior close, above VWAP, not overextended",17.8879,18.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,20.21,1.13,143,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
UTZ,40,🔥 BUY TODAY,7.06,09:50:00,7.06,9.9,-1.23,"above open, above prior close, above VWAP, not overextended",7.052,7.72,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,66.8,9.47,146,Consumer Defensive,False,False,daily limit,0,0.0,0.0,0.0
VIR,40,🔥 BUY TODAY,9.73,09:50:00,10.145,6.74,-0.1,"above open, above prior close, above VWAP, not overextended",9.7297,10.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,36.03,3.7,147,Healthcare,False,False,daily limit,0,0.0,0.0,0.0
ABSI,30,👀 WAIT,8.07,09:50:00,7.375,40.63,-8.76,"above open, above VWAP, not overextended",8.0781,10.89,0.0,0.0,0.0,0.0,0.0,100.0,0.0,STOP -8%,True,False,-65.37,-8.09,2,Healthcare,False,False,score below 40,0,0.0,0.0,0.0
ACRS,30,👀 WAIT,4.83,09:50:00,4.905,5.85,-3.11,"above open, above VWAP, not overextended",4.8559,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,14.41,2.97,4,Healthcare,False,False,score below 40,0,0.0,0.0,0.0
AEO,30,👀 WAIT,17.67,09:50:00,17.72,6.17,-0.58,"above open, above VWAP, not overextended",17.6977,17.865,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,16.73,0.95,6,Consumer Cyclical,False,False,score below 40,0,0.0,0.0,0.0
AIRJ,30,👀 WAIT,4.81,09:50:00,5.035,10.7,-8.82,"above open, above VWAP, not overextended",4.8148,4.55,0.0,50.0,0.0,0.0,50.0,0.0,0.0,PROTECT BREAKEVEN,True,True,23.57,4.89,8,Industrials,False,False,score below 40,0,0.0,0.0,0.0
ALOY,30,👀 WAIT,19.355,09:50:00,19.175,5.92,-31.58,"above open, above VWAP, broke first 15m high",19.4394,14.655,0.0,0.0,0.0,0.0,0.0,100.0,0.0,STOP -8%,True,False,-157.3,-8.09,11,Basic Materials,False,False,score below 40,0,0.0,0.0,0.0
ALTO,30,👀 WAIT,5.145,09:50:00,5.11,2.72,-5.83,"above open, above VWAP, not overextended",5.1501,5.17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,OPEN,False,False,1.99,0.39,12,Basic Materials,False,False,score below 40,0,0.0,0.0,0.0
