ticker,price,day_%,week_%,rvol,rsi,compression_%,dist_20d_high_%,risk_to_5d_low_%,target_10%,target_20%,target_30%,score,signal,why
LPRO,3.13,0.32,0.64,0.67,83.5,0.81,0.0,0.8,3.44,3.76,4.07,52,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, prior accumulation, tight squeeze, near breakout, risk under 8%, penalty: RSI overheated"
ALDX,1.9,-5.94,6.74,1.6,52.2,12.02,7.32,3.68,2.09,2.28,2.47,52,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, risk under 8%, buying volume present"
FTRE,17.02,3.4,6.51,1.65,58.4,11.17,1.33,10.05,18.72,20.42,22.13,50,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, coiled under breakout, buying volume present"
HAPN,19.46,2.64,2.26,1.03,72.5,4.51,0.0,4.32,21.41,23.35,25.3,50,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, tight squeeze, near breakout, risk under 8%"
NWBI,14.99,0.87,2.53,1.21,76.7,4.46,0.0,4.27,16.49,17.99,19.49,48,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, tight squeeze, near breakout, risk under 8%, buying volume present, penalty: RSI overheated"
SFIX,4.41,1.85,6.01,1.06,65.7,14.84,0.0,12.93,4.85,5.29,5.73,48,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout"
APLE,16.64,0.24,1.65,1.6,84.0,2.4,0.0,2.34,18.3,19.97,21.63,48,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, tight squeeze, near breakout, risk under 8%, buying volume present, penalty: RSI overheated"
CAG,13.6,1.3,0.33,1.18,67.6,5.88,0.98,5.55,14.97,16.33,17.69,47,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, moderate compression, near breakout, risk under 8%"
SNDX,19.98,1.89,7.71,1.12,67.4,5.16,0.0,4.9,21.98,23.98,25.97,47,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, moderate compression, near breakout, risk under 8%"
PMT,10.46,4.08,2.65,1.03,59.0,5.23,0.66,4.97,11.51,12.55,13.6,47,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, moderate compression, near breakout, risk under 8%"
SBRA,19.09,2.47,2.86,1.17,60.8,5.76,6.65,5.45,21.0,22.91,24.82,47,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, moderate compression, near breakout, risk under 8%"
CHYM,17.38,4.26,1.94,1.07,48.4,6.02,9.57,4.49,19.12,20.86,22.59,46,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, prior accumulation, moderate compression, risk under 8%"
AMRX,17.27,3.66,6.28,0.84,93.1,7.2,0.0,6.72,19.0,20.72,22.45,46,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, prior accumulation, moderate compression, near breakout, risk under 8%, penalty: RSI overheated"
VIR,9.95,-2.07,15.56,1.05,65.5,10.92,2.07,7.94,10.94,11.94,12.93,46,🔥 BUY NEXT SESSION,"tradeable price, healthy RSI, above 20SMA, above 50SMA, prior accumulation, coiled under breakout, risk under 8%"
PRCH,13.15,1.94,15.35,1.54,81.8,7.35,0.0,6.84,14.46,15.78,17.09,46,🔥 BUY NEXT SESSION,"tradeable price, not chasing today, above 20SMA, above 50SMA, prior accumulation, moderate compression, near breakout, risk under 8%, buying volume present, penalty: RSI overheated"
ANNX,5.3,0.38,17.26,1.03,47.8,8.16,5.02,7.55,5.83,6.36,6.89,45,🔥 BUY NEXT SESSION,"tradeable price, not chasing today, healthy RSI, above 20SMA, prior accumulation, near breakout, risk under 8%"
VLY,14.61,1.6,2.89,0.95,72.4,5.03,0.14,4.79,16.07,17.53,18.99,44,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%"
BBBY,6.7,1.36,11.3,1.24,56.7,18.37,0.0,15.52,7.37,8.04,8.71,44,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, near breakout, buying volume present"
NVD,5.27,0.96,7.77,1.4,59.8,10.95,0.19,9.87,5.8,6.32,6.85,44,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, near breakout, buying volume present"
JBI,5.56,5.9,4.51,1.25,64.0,8.17,0.0,7.55,6.12,6.67,7.23,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, near breakout, risk under 8%, buying volume present"
IOVA,4.25,-4.28,11.26,1.12,58.8,13.55,4.28,8.0,4.68,5.1,5.53,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, coiled under breakout, risk under 8%"
HBAN,17.58,1.03,1.5,1.01,75.1,4.33,0.0,4.15,19.34,21.1,22.85,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, tight squeeze, near breakout, risk under 8%, penalty: RSI overheated"
KVUE,18.8,2.09,1.98,1.99,77.0,5.24,0.0,4.97,20.67,22.55,24.43,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%, buying volume present, penalty: RSI overheated"
GNW,9.29,1.31,3.68,0.78,82.6,3.91,0.0,3.77,10.22,11.15,12.08,42,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, tight squeeze, near breakout, risk under 8%, penalty: RSI overheated"
