ticker,open,current,prior_close,vwap,first_15m_high,current_vs_open_%,current_vs_prior_%,score,signal,notes,target_10,target_20,target_30,stop_8
WKSP,0.83,1.03,0.88,1.11,0.89,25.36,17.81,15,🔴 PASS,"above open, above prior close, broke first 15m high, too extended",1.14,1.24,1.35,0.95
SMCX,11.8,11.11,11.74,11.42,12.18,-5.81,-5.32,10,🔴 PASS,not overextended,12.23,13.34,14.45,10.23
ACRS,4.97,4.8,4.91,4.83,5.0,-3.42,-2.14,10,🔴 PASS,not overextended,5.28,5.76,6.24,4.42
ALOY,18.8,16.67,19.17,17.02,18.9,-11.33,-13.06,10,🔴 PASS,not overextended,18.34,20.0,21.67,15.34
AIRJ,5.03,4.97,5.03,5.0,5.11,-1.19,-1.29,10,🔴 PASS,not overextended,5.47,5.96,6.46,4.57
SMMT,14.25,14.24,14.26,14.42,14.36,-0.04,-0.11,10,🔴 PASS,not overextended,15.67,17.09,18.52,13.11
VIR,10.23,9.94,10.15,10.15,10.35,-2.83,-2.02,10,🔴 PASS,not overextended,10.93,11.93,12.92,9.14
ALDX,2.06,1.89,2.03,1.92,2.09,-8.03,-6.67,10,🔴 PASS,not overextended,2.08,2.27,2.46,1.74
FATE,2.17,2.06,2.16,2.18,2.34,-5.3,-5.08,10,🔴 PASS,not overextended,2.26,2.47,2.67,1.89
SHLS,10.36,10.2,10.3,10.25,10.5,-1.54,-0.92,10,🔴 PASS,not overextended,11.22,12.24,13.26,9.38
AQST,5.07,4.99,5.03,5.06,5.18,-1.68,-0.8,10,🔴 PASS,not overextended,5.48,5.98,6.48,4.59
FULC,3.85,3.77,3.83,3.85,3.94,-2.08,-1.57,10,🔴 PASS,not overextended,4.15,4.52,4.9,3.47
GETY,1.0,0.94,0.98,0.97,1.01,-6.0,-4.39,10,🔴 PASS,not overextended,1.03,1.13,1.22,0.86
GOSS,0.17,0.17,0.17,0.17,0.18,-0.7,-2.13,10,🔴 PASS,not overextended,0.19,0.2,0.22,0.16
CTM,0.74,0.73,0.73,0.75,0.76,-1.26,-0.19,10,🔴 PASS,not overextended,0.8,0.88,0.95,0.67
CRMT,3.78,3.55,3.86,3.85,4.02,-6.08,-8.03,10,🔴 PASS,not overextended,3.9,4.26,4.61,3.27
HIVE,4.66,4.14,4.62,4.22,4.68,-11.16,-10.48,10,🔴 PASS,not overextended,4.55,4.97,5.38,3.81
INFQ,15.58,14.11,15.96,14.29,15.59,-9.46,-11.59,10,🔴 PASS,not overextended,15.52,16.93,18.34,12.98
IOVA,4.55,4.24,4.44,4.38,4.76,-6.7,-4.34,10,🔴 PASS,not overextended,4.67,5.09,5.52,3.91
CGEM,17.92,17.66,17.73,18.19,18.7,-1.45,-0.37,10,🔴 PASS,not overextended,19.43,21.19,22.96,16.25
KEEL,6.84,6.11,6.59,6.15,6.9,-10.6,-7.21,10,🔴 PASS,not overextended,6.73,7.34,7.95,5.63
LPRO,3.11,3.11,3.12,3.12,3.12,0.0,-0.32,10,🔴 PASS,not overextended,3.42,3.73,4.04,2.86
MIR,18.68,18.22,18.78,18.46,18.98,-2.46,-2.98,10,🔴 PASS,not overextended,20.04,21.86,23.69,16.76
NUAI,6.3,5.85,6.16,5.99,6.55,-7.14,-5.03,10,🔴 PASS,not overextended,6.43,7.02,7.6,5.38
EXFY,1.56,1.49,1.55,1.54,1.61,-4.81,-4.19,10,🔴 PASS,not overextended,1.63,1.78,1.93,1.37
AUR,6.42,6.22,6.43,6.3,6.42,-3.04,-3.11,10,🔴 PASS,not overextended,6.85,7.47,8.09,5.73
PDYN,6.34,5.97,6.47,6.0,6.36,-5.76,-7.65,10,🔴 PASS,not overextended,6.57,7.17,7.77,5.5
ATLN,1.43,0.79,1.32,1.08,1.51,-44.88,-40.29,10,🔴 PASS,not overextended,0.87,0.95,1.02,0.73
PRME,3.25,3.12,3.23,3.22,3.38,-4.15,-3.56,10,🔴 PASS,not overextended,3.43,3.74,4.05,2.87
QS,7.39,7.13,7.42,7.16,7.4,-3.58,-3.91,10,🔴 PASS,not overextended,7.84,8.56,9.27,6.56
ZONE,0.93,0.8,0.92,0.83,0.95,-13.63,-13.04,10,🔴 PASS,not overextended,0.88,0.96,1.04,0.74
