Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ARHS,Arhaus Inc,Consumer Cyclical,Specialty Retail,USA,1110000000.0,17.14,7.83,0.1075,1636882.0
ASPI,ASP Isotopes Inc,Basic Materials,Chemicals,USA,888880000.0,,7.06,-0.0028000000000000004,5493972.0
ATEC,Alphatec Holdings Inc,Healthcare,Medical Devices,USA,1340000000.0,,8.7,0.0235,6780266.0
ATLN,Atlantic International Corp,Industrials,Staffing & Employment Services,USA,63420000.0,,0.78,-0.41350000000000003,50960991.0
ATYR,Atyr Pharma Inc,Healthcare,Biotechnology,USA,55050000.0,,0.56,0.0454,3631848.0
AUR,Aurora Innovation Inc,Consumer Cyclical,Auto Parts,USA,12220000000.0,,6.23,-0.0296,28280233.0
AVAH,Aveanna Healthcare Holdings Inc,Healthcare,Medical Care Facilities,USA,1840000000.0,7.18,8.47,0.0329,2296490.0
AVO,Mission Produce Inc,Consumer Defensive,Food Distribution,USA,1080000000.0,38.11,12.18,0.0401,1680793.0
AVR,Anteris Technologies Global Corp,Healthcare,Medical Instruments & Supplies,USA,1010000000.0,,10.4,0.011699999999999999,1620413.0
BBBY,Bed Bath & Beyond Inc,Consumer Cyclical,Internet Retail,USA,499100000.0,,6.7,0.013600000000000001,3717434.0
BCRX,Biocryst Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,2540000000.0,,10.0,0.0741,8487290.0
BDTX,Black Diamond Therapeutics Inc,Healthcare,Biotechnology,USA,106590000.0,,1.86,0.1553,2858544.0
BFLY,Butterfly Network Inc,Healthcare,Medical Devices,USA,2029999999.9999998,,7.77,0.013000000000000001,10102098.0
BGC,BGC Group Inc,Financial,Capital Markets,USA,6060000000.0,34.44,12.65,0.0072,5032233.0
BKD,Brookdale Senior Living Inc,Healthcare,Medical Care Facilities,USA,3510000000.0,,14.69,0.061399999999999996,6846701.0
BLZE,Backblaze Inc,Technology,Software - Infrastructure,USA,718200000.0,,11.97,0.026600000000000002,12977888.0
BOLD,Boundless Bio Inc,Healthcare,Biotechnology,USA,58410000.0,,2.6,0.0,2456892.0
BRBR,Bellring Brands Inc,Consumer Defensive,Packaged Foods,USA,1380000000.0,9.21,11.91,0.056799999999999996,8548141.0
CAG,Conagra Brands Inc,Consumer Defensive,Packaged Foods,USA,6510000000.0,,13.61,0.0134,21006786.0
CATX,Perspective Therapeutics Inc,Healthcare,Medical Devices,USA,342140000.0,,3.0,0.0,1686088.0
CERS,Cerus Corp,Healthcare,Medical Devices,USA,528980000.0,,2.64,0.019299999999999998,2783777.0
CGEM,Cullinan Therapeutics Inc,Healthcare,Biotechnology,USA,1080000000.0,,17.65,-0.005600000000000001,1443010.0
